Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),EC2 instances in public subnets,Amazon EC2,0,3008.4,36100.8,USD,"Operating system (Linux), Quantity (10), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (a1.4xlarge)"
My Estimate,US East (N. Virginia),EC2 in private instances,Amazon EC2,0,374.48,4493.76,USD,"Operating system (Linux), Quantity (10), Pricing strategy (On-Demand Instances), Storage amount (100 GB), Instance type (t3a.medium)"
My Estimate,US East (N. Virginia),Application Load Balancer,Application Load Balancer,0,1200.85,14410.2,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,12029.68,144356.16,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (2), Instance type (db.m5.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,0.5,6,USD,Hosted Zones (1)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,875.7,10508.4,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,920.21,11042.52,USD,S3 Standard storage (40000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,204.8004,2457.6,USD,"Number of Metrics (includes detailed and custom metrics) (10), GetMetricData: Number of metrics requested (10), GetMetricWidgetImage: Number of metrics requested (10), Number of other API requests (10), Standard Logs: Data Ingested (200 GB), Logs Delivered to CloudWatch Logs: Data Ingested (200 GB)"
,,,,," 18,614.62 "," 223,375.44 ",,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
